date,strategy,equity
2024-01-16,ou_baseline,100.0
2024-01-17,ou_baseline,100.0
2024-01-18,ou_baseline,100.0
2024-01-19,ou_baseline,100.0
2024-01-22,ou_baseline,100.0
2024-01-23,ou_baseline,100.0
2024-01-24,ou_baseline,100.0
2024-01-25,ou_baseline,100.0
2024-01-26,ou_baseline,100.0
2024-01-29,ou_baseline,100.0
2024-01-30,ou_baseline,100.0
2024-01-31,ou_baseline,100.0
2024-02-01,ou_baseline,100.0
2024-02-02,ou_baseline,100.0
2024-02-05,ou_baseline,100.0
2024-02-06,ou_baseline,100.0
2024-02-07,ou_baseline,100.0
2024-02-08,ou_baseline,100.0
2024-02-09,ou_baseline,100.0
2024-02-12,ou_baseline,100.0
2024-02-13,ou_baseline,100.0
2024-02-14,ou_baseline,100.0
2024-02-15,ou_baseline,100.0
2024-02-16,ou_baseline,100.0
2024-02-20,ou_baseline,100.0
2024-02-21,ou_baseline,100.0
2024-02-22,ou_baseline,100.0
2024-02-23,ou_baseline,100.0
2024-02-26,ou_baseline,100.0
2024-02-27,ou_baseline,100.0
2024-02-28,ou_baseline,100.0
2024-02-29,ou_baseline,100.0
2024-03-01,ou_baseline,100.0
2024-03-04,ou_baseline,100.0
2024-03-05,ou_baseline,100.0
2024-03-06,ou_baseline,100.0
2024-03-07,ou_baseline,100.0
2024-03-08,ou_baseline,100.0
2024-03-11,ou_baseline,100.0
2024-03-12,ou_baseline,100.0
2024-03-13,ou_baseline,100.0
2024-03-14,ou_baseline,100.0
2024-03-15,ou_baseline,100.0
2024-03-18,ou_baseline,100.0
2024-03-19,ou_baseline,100.0
2024-03-20,ou_baseline,100.0
2024-03-21,ou_baseline,100.0
2024-03-22,ou_baseline,100.0
2024-03-25,ou_baseline,100.0
2024-03-26,ou_baseline,100.0
2024-03-27,ou_baseline,100.0
2024-03-28,ou_baseline,100.0
2024-04-01,ou_baseline,100.0
2024-04-02,ou_baseline,100.0
2024-04-03,ou_baseline,100.0
2024-04-04,ou_baseline,100.0
2024-04-05,ou_baseline,100.0
2024-04-08,ou_baseline,100.0
2024-04-09,ou_baseline,100.0
2024-04-10,ou_baseline,100.0
2024-04-11,ou_baseline,100.0
2024-04-12,ou_baseline,100.0
2024-04-15,ou_baseline,100.0
2024-04-16,ou_baseline,100.0
2024-04-17,ou_baseline,100.0
2024-04-18,ou_baseline,100.0
2024-04-19,ou_baseline,100.0
2024-04-22,ou_baseline,100.0
2024-04-23,ou_baseline,100.0
2024-04-24,ou_baseline,100.0
2024-04-25,ou_baseline,100.0
2024-04-26,ou_baseline,100.0
2024-04-29,ou_baseline,100.0
2024-04-30,ou_baseline,100.0
2024-05-01,ou_baseline,100.0
2024-05-02,ou_baseline,100.0
2024-05-03,ou_baseline,100.0
2024-05-06,ou_baseline,100.0
2024-05-07,ou_baseline,100.0
2024-05-08,ou_baseline,100.0
2024-05-09,ou_baseline,100.0
2024-05-10,ou_baseline,100.0
2024-05-13,ou_baseline,100.0
2024-05-14,ou_baseline,100.0
2024-05-15,ou_baseline,100.0
2024-05-16,ou_baseline,100.0
2024-05-17,ou_baseline,100.0
2024-05-20,ou_baseline,100.0
2024-05-21,ou_baseline,100.0
2024-05-22,ou_baseline,100.0
2024-05-23,ou_baseline,100.0
2024-05-24,ou_baseline,100.0
2024-05-28,ou_baseline,100.0
2024-05-29,ou_baseline,100.0
2024-05-30,ou_baseline,100.0
